mins,minsec,player_id,secs,team,competition,kickoff,match_id
31,1864,15004,4,309,data/epl,2017-09-11 20:00:00 +0100,32934
73,4423,15004,43,309,data/epl,2017-09-11 20:00:00 +0100,32934
