action_type,injurytime_play,mins,minsec,ot_id,ot_outcome,player_id,secs,team_id,competition,kickoff,match_id,loc_x,loc_y
Possession,,19,1141,1,0,10504,1,309,data/epl,2017-09-11 20:00:00 +0100,32934,80.1,7.7
Defense,,18,1136,7,1,11309,56,309,data/epl,2017-09-11 20:00:00 +0100,32934,61.5,7.8
Possession,,18,1100,44,0,12372,20,309,data/epl,2017-09-11 20:00:00 +0100,32934,30.6,68.5
Possession,,18,1098,1,1,729,18,49,data/epl,2017-09-11 20:00:00 +0100,32934,32.0,97.2
Defense,,17,1066,4,0,10072,46,309,data/epl,2017-09-11 20:00:00 +0100,32934,63.5,9.1
Possession,,17,1057,44,0,10955,37,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.8,49.4
Possession,,17,1051,61,1,12372,31,309,data/epl,2017-09-11 20:00:00 +0100,32934,36.4,57.0
Defense,,16,1018,7,1,9470,58,49,data/epl,2017-09-11 20:00:00 +0100,32934,48.2,66.2
Possession,,16,1002,61,0,544,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,61.7,6.5
Possession,,16,998,1,1,2074,38,309,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,96.8
Defense,,16,972,4,0,10955,12,49,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,3.0
Defense,,16,972,4,1,20871,12,309,data/epl,2017-09-11 20:00:00 +0100,32934,28.3,97.0
Possession,,16,967,44,0,8206,7,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.2,74.5
Possession,,15,909,1,1,12372,9,309,data/epl,2017-09-11 20:00:00 +0100,32934,39.4,66.1
Defense,,24,1487,4,1,10955,47,49,data/epl,2017-09-11 20:00:00 +0100,32934,89.4,86.5
Defense,,24,1487,4,0,7969,47,309,data/epl,2017-09-11 20:00:00 +0100,32934,10.6,13.5
Possession,,23,1425,1,0,10560,45,49,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,97.3
Possession,,23,1401,1,0,10560,21,49,data/epl,2017-09-11 20:00:00 +0100,32934,81.2,12.5
Possession,,23,1394,1,0,10560,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.5,0.5
Possession,,22,1359,1,0,729,39,49,data/epl,2017-09-11 20:00:00 +0100,32934,90.4,6.2
Possession,,22,1360,6,0,8088,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,92.7
Possession,,22,1360,6,1,729,40,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,7.3
Possession,,22,1336,44,0,15280,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.3,26.4
Possession,,22,1334,44,0,583,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.8,56.5
Possession,,22,1328,44,0,12372,8,309,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,58.4
Possession,,22,1326,44,0,9470,6,49,data/epl,2017-09-11 20:00:00 +0100,32934,70.5,45.4
Possession,,21,1319,1,1,925,59,49,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,83.5
Defense,,21,1295,4,1,9470,35,49,data/epl,2017-09-11 20:00:00 +0100,32934,43.8,81.1
Defense,,21,1295,4,0,11309,35,309,data/epl,2017-09-11 20:00:00 +0100,32934,56.2,18.9
Possession,,21,1293,61,0,11309,33,309,data/epl,2017-09-11 20:00:00 +0100,32934,54.0,20.3
Possession,,21,1289,61,0,10504,29,309,data/epl,2017-09-11 20:00:00 +0100,32934,57.8,3.7
Possession,,20,1228,44,0,20871,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,30.2,59.5
Possession,,20,1224,1,1,729,24,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.9,21.2
Defense,,20,1217,4,1,87,17,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.2,20.4
Defense,,20,1217,4,0,20871,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,60.8,79.6
Possession,,20,1206,61,0,8206,6,309,data/epl,2017-09-11 20:00:00 +0100,32934,78.2,62.0
Possession,,20,1201,1,1,8088,1,309,data/epl,2017-09-11 20:00:00 +0100,32934,84.4,90.3
Possession,,29,1776,1,0,87,36,49,data/epl,2017-09-11 20:00:00 +0100,32934,75.6,7.6
Possession,,29,1765,1,0,10560,25,49,data/epl,2017-09-11 20:00:00 +0100,32934,88.8,88.0
Possession,,29,1762,1,0,10560,22,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.5,99.5
Possession,,28,1734,6,0,20871,54,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.2,43.6
Possession,,28,1734,6,1,87,54,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.8,56.4
Defense,,28,1733,10,1,20871,53,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,43.3
Possession,,28,1732,44,0,20871,52,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.7,43.0
Possession,,28,1730,1,1,10560,50,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.6,0.7
Possession,,28,1696,6,0,12372,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,2.9,83.5
Possession,,28,1696,6,1,10955,16,49,data/epl,2017-09-11 20:00:00 +0100,32934,97.1,16.5
Possession,,28,1694,1,0,10955,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,97.1,7.7
Defense,,28,1692,45,0,2074,12,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,88.8
Attack,,28,1691,42,1,10955,11,49,data/epl,2017-09-11 20:00:00 +0100,32934,87.1,8.2
Possession,,27,1622,1,0,15280,2,309,data/epl,2017-09-11 20:00:00 +0100,32934,79.5,2.9
Defense,,26,1604,7,1,12372,44,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.9,29.4
Possession,,25,1555,61,1,7969,55,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.4,52.4
Possession,,25,1553,1,1,10560,53,49,data/epl,2017-09-11 20:00:00 +0100,32934,90.5,87.8
Defense,,34,2070,4,1,9470,30,49,data/epl,2017-09-11 20:00:00 +0100,32934,25.4,31.6
Defense,,34,2070,4,0,15280,30,309,data/epl,2017-09-11 20:00:00 +0100,32934,74.6,68.4
Possession,,34,2068,61,0,15280,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,75.2,69.0
Possession,,34,2063,44,0,8206,23,309,data/epl,2017-09-11 20:00:00 +0100,32934,79.0,60.8
Possession,,33,2025,61,1,10560,45,49,data/epl,2017-09-11 20:00:00 +0100,32934,54.6,73.3
Defense,,33,2023,7,0,11309,43,309,data/epl,2017-09-11 20:00:00 +0100,32934,45.5,31.1
Defense,,33,2008,7,1,15280,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.1,95.8
Possession,,33,2000,1,0,10560,20,49,data/epl,2017-09-11 20:00:00 +0100,32934,64.7,91.8
Possession,,33,1993,44,0,87,13,49,data/epl,2017-09-11 20:00:00 +0100,32934,73.4,41.6
Possession,,33,1990,61,0,8088,10,309,data/epl,2017-09-11 20:00:00 +0100,32934,44.8,37.1
Possession,,33,1988,44,0,2948,8,49,data/epl,2017-09-11 20:00:00 +0100,32934,61.2,55.7
Possession,,32,1972,44,0,8088,52,309,data/epl,2017-09-11 20:00:00 +0100,32934,41.5,3.2
Possession,,32,1951,61,1,2948,31,49,data/epl,2017-09-11 20:00:00 +0100,32934,66.8,96.6
Attack,,32,1949,3,0,10560,29,49,data/epl,2017-09-11 20:00:00 +0100,32934,77.3,98.1
Possession,,31,1917,1,1,87,57,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.1,3.4
Possession,,31,1908,44,0,20871,48,309,data/epl,2017-09-11 20:00:00 +0100,32934,42.9,67.3
Possession,,31,1901,1,0,15004,41,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.4,69.1
Defense,,31,1877,4,0,544,17,49,data/epl,2017-09-11 20:00:00 +0100,32934,97.2,26.0
Defense,,31,1877,4,1,2074,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,2.8,74.0
Possession,,31,1875,61,0,544,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,91.2,10.0
Possession,,30,1857,44,0,2948,57,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.2,95.8
Possession,,30,1842,61,1,925,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,53.1,95.3
Defense,,30,1842,7,1,2948,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,57.2,94.6
Possession,,30,1819,44,0,8088,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,44.5,36.4
Possession,,30,1813,1,1,15004,13,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.2,56.0
Possession,,40,2400,1,1,15004,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.7,51.8
Possession,,39,2371,1,0,10955,31,49,data/epl,2017-09-11 20:00:00 +0100,32934,87.0,96.0
Possession,,39,2372,44,0,87,32,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,47.2
Possession,,39,2355,1,1,729,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,63.9,3.2
Defense,,38,2339,4,1,544,59,49,data/epl,2017-09-11 20:00:00 +0100,32934,67.3,4.2
Defense,,38,2339,4,0,2074,59,309,data/epl,2017-09-11 20:00:00 +0100,32934,32.7,95.8
Possession,,37,2239,44,0,10504,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.3,24.7
Possession,,37,2230,61,0,15280,10,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.1,90.3
Possession,,37,2226,44,0,87,6,49,data/epl,2017-09-11 20:00:00 +0100,32934,90.3,42.4
Possession,,37,2224,1,0,10560,4,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.4,99.1
Possession,,36,2197,6,1,10955,37,49,data/epl,2017-09-11 20:00:00 +0100,32934,77.2,39.7
Possession,,36,2197,6,0,20871,37,309,data/epl,2017-09-11 20:00:00 +0100,32934,22.8,60.3
Defense,,36,2195,10,1,20871,35,309,data/epl,2017-09-11 20:00:00 +0100,32934,21.9,60.6
Defense,,36,2182,7,1,2074,22,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.2,97.8
Possession,,35,2156,44,0,15280,56,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.8,54.5
Possession,,35,2152,1,0,10560,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,92.0,92.3
Possession,,35,2148,44,0,583,48,49,data/epl,2017-09-11 20:00:00 +0100,32934,95.4,58.2
Possession,,35,2147,1,0,10560,47,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.4,99.1
Possession,,35,2119,6,1,87,19,49,data/epl,2017-09-11 20:00:00 +0100,32934,72.4,67.2
Possession,,35,2119,6,0,12372,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,27.6,32.8
Defense,,35,2117,10,1,12372,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.3,34.2
Possession,,35,2113,44,0,20871,13,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.3,42.3
Possession,,35,2110,1,1,82,10,49,data/epl,2017-09-11 20:00:00 +0100,32934,22.6,34.2
Defense,0,44,2666,4,1,544,26,49,data/epl,2017-09-11 20:00:00 +0100,32934,37.6,34.8
Defense,0,44,2666,4,0,12372,26,309,data/epl,2017-09-11 20:00:00 +0100,32934,62.4,65.2
Possession,0,44,2665,61,0,12372,25,309,data/epl,2017-09-11 20:00:00 +0100,32934,63.2,67.0
Possession,0,44,2654,1,0,11309,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,97.3,86.5
Defense,0,44,2648,7,0,729,8,49,data/epl,2017-09-11 20:00:00 +0100,32934,10.8,16.3
Possession,0,43,2629,1,1,11309,49,309,data/epl,2017-09-11 20:00:00 +0100,32934,64.9,60.2
Defense,0,42,2554,4,1,8206,34,309,data/epl,2017-09-11 20:00:00 +0100,32934,61.8,62.6
Defense,0,42,2554,4,0,905,34,49,data/epl,2017-09-11 20:00:00 +0100,32934,38.2,37.4
Possession,0,42,2543,1,1,15004,23,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.2,54.9
Defense,0,41,2479,4,1,2948,19,49,data/epl,2017-09-11 20:00:00 +0100,32934,70.6,43.0
Defense,0,41,2479,4,0,12372,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,29.4,57.0
Defense,0,41,2462,7,1,10504,2,309,data/epl,2017-09-11 20:00:00 +0100,32934,24.4,11.6
Defense,0,40,2416,7,1,20871,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,35.9,58.4
Defense,0,40,2414,45,0,8206,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.4,63.8
Defense,1,45,2818,7,1,11309,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,68.1,13.6
Defense,1,45,2812,10,1,925,0,49,data/epl,2017-09-11 20:00:00 +0100,32934,12.3,69.7
Defense,1,45,2806,7,0,2948,0,49,data/epl,2017-09-11 20:00:00 +0100,32934,52.0,21.2
Possession,1,45,2789,61,0,15280,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,57.8,97.5
Possession,1,45,2774,61,1,15280,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.1,93.3
Possession,1,45,2772,44,0,15280,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.9,94.9
Possession,1,45,2720,61,1,7969,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,29.2
Possession,1,45,2717,1,1,82,0,49,data/epl,2017-09-11 20:00:00 +0100,32934,36.8,37.5
Possession,1,45,2718,44,0,7969,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,24.8,28.6
Possession,,49,2954,1,0,15004,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,8.6,81.7
Defense,,48,2907,4,0,544,27,49,data/epl,2017-09-11 20:00:00 +0100,32934,95.6,12.7
Defense,,48,2907,4,1,8088,27,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.4,87.3
Possession,,48,2902,1,0,544,22,49,data/epl,2017-09-11 20:00:00 +0100,32934,79.3,5.9
Possession,,47,2867,44,0,8206,47,309,data/epl,2017-09-11 20:00:00 +0100,32934,65.4,23.5
Possession,,47,2862,44,0,8206,42,309,data/epl,2017-09-11 20:00:00 +0100,32934,59.4,23.7
Possession,,47,2858,1,0,15004,38,309,data/epl,2017-09-11 20:00:00 +0100,32934,5.1,43.0
Defense,,46,2777,4,1,10955,17,49,data/epl,2017-09-11 20:00:00 +0100,32934,75.2,42.6
Defense,,46,2777,4,0,20871,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,24.8,57.4
Defense,,46,2773,7,1,10955,13,49,data/epl,2017-09-11 20:00:00 +0100,32934,72.2,43.8
Possession,,46,2763,1,1,925,3,49,data/epl,2017-09-11 20:00:00 +0100,32934,56.0,85.1
Defense,,45,2726,4,0,10504,26,309,data/epl,2017-09-11 20:00:00 +0100,32934,42.4,16.8
Defense,,45,2720,7,0,10560,20,49,data/epl,2017-09-11 20:00:00 +0100,32934,55.5,87.2
Possession,,45,2715,61,1,10955,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,60.3,62.0
Defense,,45,2714,7,0,7969,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,40.9,40.2
Possession,,45,2708,44,0,10955,8,49,data/epl,2017-09-11 20:00:00 +0100,32934,60.4,71.3
Possession,,54,3280,44,0,583,40,49,data/epl,2017-09-11 20:00:00 +0100,32934,62.9,97.3
Possession,,54,3277,1,1,15004,37,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.9,44.5
Possession,,52,3179,1,0,2074,59,309,data/epl,2017-09-11 20:00:00 +0100,32934,72.6,86.3
Defense,,52,3172,7,1,2948,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,37.8,78.3
Possession,,52,3168,61,1,15280,48,309,data/epl,2017-09-11 20:00:00 +0100,32934,61.2,12.5
Defense,,52,3167,7,0,2948,47,49,data/epl,2017-09-11 20:00:00 +0100,32934,35.8,91.6
Possession,,52,3165,61,1,2948,45,49,data/epl,2017-09-11 20:00:00 +0100,32934,40.7,92.3
Defense,,52,3133,7,1,20871,13,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.4,91.2
Possession,,51,3117,61,0,8088,57,309,data/epl,2017-09-11 20:00:00 +0100,32934,36.1,97.4
Possession,,51,3115,1,1,15004,55,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.8,70.6
Defense,,51,3088,4,0,87,28,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,28.6
Defense,,51,3088,4,1,2074,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,71.4
Possession,,51,3085,1,0,10955,25,49,data/epl,2017-09-11 20:00:00 +0100,32934,87.9,94.6
Possession,,51,3078,1,1,82,18,49,data/epl,2017-09-11 20:00:00 +0100,32934,5.3,40.1
Possession,,50,3041,1,0,2074,41,309,data/epl,2017-09-11 20:00:00 +0100,32934,89.8,88.7
Possession,,50,3035,61,1,905,35,49,data/epl,2017-09-11 20:00:00 +0100,32934,26.4,29.5
Possession,,50,3034,61,1,8206,34,309,data/epl,2017-09-11 20:00:00 +0100,32934,71.1,65.3
Defense,,50,3033,7,0,544,33,49,data/epl,2017-09-11 20:00:00 +0100,32934,28.5,36.0
Possession,,59,3595,6,0,2948,55,49,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,95.6
Possession,,59,3595,6,1,8088,55,309,data/epl,2017-09-11 20:00:00 +0100,32934,76.4,4.4
Defense,,59,3592,7,1,2948,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,95.6
Defense,,59,3581,10,1,20871,41,309,data/epl,2017-09-11 20:00:00 +0100,32934,20.1,66.8
Possession,,59,3574,44,0,2074,34,309,data/epl,2017-09-11 20:00:00 +0100,32934,29.8,88.0
Possession,,59,3571,1,0,15004,31,309,data/epl,2017-09-11 20:00:00 +0100,32934,5.1,43.1
Possession,,59,3550,1,0,2948,10,49,data/epl,2017-09-11 20:00:00 +0100,32934,63.7,4.1
Possession,,59,3545,44,0,544,5,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.4,8.2
Possession,,58,3531,1,0,10560,51,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.9,99.1
Possession,,58,3503,6,0,7969,23,309,data/epl,2017-09-11 20:00:00 +0100,32934,14.0,52.8
Possession,,58,3503,6,1,544,23,49,data/epl,2017-09-11 20:00:00 +0100,32934,94.8,60.8
Possession,,58,3495,61,0,10955,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,56.5,23.1
Possession,,58,3484,1,1,82,4,49,data/epl,2017-09-11 20:00:00 +0100,32934,24.4,33.7
Possession,,57,3460,2,1,10072,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,64.8,59.4
Defense,,57,3435,45,0,10955,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,59.4,61.8
Possession,,57,3425,1,1,15280,5,309,data/epl,2017-09-11 20:00:00 +0100,32934,41.3,26.2
Defense,,56,3412,4,0,10560,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,59.8,75.8
Defense,,56,3412,4,1,15280,52,309,data/epl,2017-09-11 20:00:00 +0100,32934,40.2,24.2
Possession,,56,3393,44,0,7969,33,309,data/epl,2017-09-11 20:00:00 +0100,32934,39.6,34.6
Possession,,56,3372,1,1,82,12,49,data/epl,2017-09-11 20:00:00 +0100,32934,14.9,62.7
Possession,,56,3365,1,0,15004,5,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.9,58.4
Defense,,55,3317,7,1,20871,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,14.1,93.0
Defense,,64,3898,7,1,20871,58,309,data/epl,2017-09-11 20:00:00 +0100,32934,38.2,3.6
Defense,,64,3893,45,0,11309,53,309,data/epl,2017-09-11 20:00:00 +0100,32934,64.2,13.6
Possession,,64,3874,44,0,925,34,49,data/epl,2017-09-11 20:00:00 +0100,32934,37.0,69.6
Possession,,64,3872,61,0,10955,32,49,data/epl,2017-09-11 20:00:00 +0100,32934,60.8,89.9
Possession,,64,3870,44,0,10504,30,309,data/epl,2017-09-11 20:00:00 +0100,32934,43.3,5.4
Possession,,63,3781,1,0,15004,1,309,data/epl,2017-09-11 20:00:00 +0100,32934,5.0,42.5
Possession,,61,3716,1,0,544,56,49,data/epl,2017-09-11 20:00:00 +0100,32934,85.7,19.2
Possession,,61,3700,44,0,11309,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,33.8,34.3
