event,event_action_type,event_injurytime_play,event_mins,event_minsec,event_player_id,event_secs,event_team_id,hd_itp_result,hd_itp_result_lost,hd_itp_result_team_id,hd_itp_result_won,hd_result,hd_result_lost,hd_result_team_id,hd_result_won,otherplayer,otherplayer_team_id,time_slice_id,time_slice_name,competition,kickoff,match_id,loc_x,loc_y
"
            ",Possession,,37,2239,729,19,49,,,,,,,,,10504,309,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,92.7,75.3
"
            ",Possession,,37,2226,20871,6,309,,,,,,,,,87,49,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,9.7,57.6
"
            ",Possession,,35,2156,544,56,49,,,,,,,,,15280,309,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,76.2,45.5
"
            ",Possession,,35,2148,8206,48,309,,,,,,,,,583,49,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,4.6,41.8
"
            ",Possession,,35,2113,87,13,49,,,,,,,,,20871,309,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,65.7,57.7
,,,,,,,,,,,,2/4,2,49,2,,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,1/2,1,309,1,,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,1,45,2772,544,0,49,,,,,,,,,15280,309,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,47.1,5.1
"
            ",Possession,1,45,2718,87,0,49,,,,,,,,,7969,309,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,75.2,71.4
,,,,,,,,0/0,0,49,0,,,,,,,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,0/2,2,309,0,,,,,,,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,,47,2867,925,47,49,,,,,,,,,8206,309,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,34.6,76.5
"
            ",Possession,,47,2862,925,42,49,,,,,,,,,8206,309,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,76.3
"
            ",Possession,,45,2708,7969,8,309,,,,,,,,,10955,49,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,39.6,28.7
,,,,,,,,,,,,2/2,0,49,2,,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,1/1,0,309,1,,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,,54,3280,10504,40,309,,,,,,,,,583,49,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934,37.1,2.7
,,,,,,,,,,,,0/1,1,49,0,,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,0/0,0,309,0,,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,,59,3574,544,34,49,,,,,,,,,2074,309,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,70.2,12
"
            ",Possession,,59,3545,7969,5,309,,,,,,,,,544,49,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,25.6,91.8
"
            ",Possession,,56,3393,87,33,49,,,,,,,,,7969,309,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,60.4,65.4
,,,,,,,,,,,,1/1,0,49,1,,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,1/2,1,309,1,,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,,64,3874,8206,34,309,,,,,,,,,925,49,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,63,30.4
"
            ",Possession,,64,3870,87,30,49,,,,,,,,,10504,309,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,56.7,94.6
"
            ",Possession,,61,3700,9470,40,49,,,,,,,,,11309,309,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,66.2,65.7
"
            ",Possession,,60,3627,925,27,49,,,,,,,,,10072,309,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,17,51.6
,,,,,,,,,,,,2/3,1,49,2,,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,0/1,1,309,0,,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,,68,4137,15004,57,309,,,,,,,,,729,49,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,3,33.3
"
            ",Possession,,68,4088,20871,8,309,,,,,,,,,10955,49,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,32.3,58.6
,,,,,,,,,,,,0/1,1,49,0,,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,1/1,0,309,1,,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,,84,5099,23637,59,309,,,,,,,,,1174,49,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,55.2,4.5
"
            ",Possession,,84,5077,15035,37,49,,,,,,,,,10504,309,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,63,96.6
"
            ",Possession,,83,4985,19189,5,309,,,,,,,,,10560,49,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,40.2,3.4
"
            ",Possession,,80,4814,905,14,49,,,,,,,,,8206,309,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,11,39.4
,,,,,,,,,,,,1/3,2,49,1,,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,0/1,1,309,0,,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,0,89,5361,20871,21,309,,,,,,,,,10955,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,27.8,70.6
"
            ",Possession,0,87,5250,7969,30,309,,,,,,,,,1174,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,26.2,51
"
            ",Possession,0,86,5213,20871,53,309,,,,,,,,,15035,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,53.4,92.6
"
            ",Possession,0,86,5202,905,42,49,,,,,,,,,19189,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,25.1,45.2
"
            ",Possession,0,86,5181,905,21,49,,,,,,,,,19189,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,9.6,55.4
"
            ",Possession,0,85,5150,20871,50,309,,,,,,,,,10955,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,50.2,58.2
"
            ",Possession,0,85,5145,905,45,49,,,,,,,,,19189,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,22.4,61.4
,,,,,,,,,,,,3/5,2,49,3,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,,,2/2,0,309,2,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
"
            ",Possession,1,90,5607,15035,0,49,,,,,,,,,7969,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,73.4,94.2
"
            ",Possession,1,90,5578,7969,0,309,,,,,,,,,1174,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,33.8,5.3
,,,,,,,,1/2,1,49,1,,,,,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,0/0,0,309,0,,,,,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
