aa_player,aa_player_id,aa_player_team_id,aa_team,aa_team_id,action_area,action_area_id,action_area_injurytime_play,time_slice_id,time_slice_name,competition,kickoff,match_id
3,544,49,3,49,"
            ",4,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,3,49,"
            ",17,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
3,12372,309,5,309,"
            ",12,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
2,2948,49,6,49,"
            ",10,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",5,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,2,49,"
            ",6,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,12,49,"
            ",11,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",3,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",8,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,1,49,"
            ",2,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",1,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,1,49,"
            ",11,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,4,309,"
            ",12,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,1,49,"
            ",5,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
3,10560,49,3,49,"
            ",18,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,3,49,"
            ",6,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,4,49,"
            ",4,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",10,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,2,49,"
            ",16,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",9,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",3,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",7,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,15280,309,2,309,"
            ",14,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,1,309,"
            ",15,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,1,49,"
            ",17,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",8,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,3,49,"
            ",8,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,6,309,"
            ",16,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,10,309,"
            ",10,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,4,309,"
            ",9,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,2,309,"
            ",15,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,1,309,"
            ",3,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",4,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,1,49,"
            ",6,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,2,309,"
            ",12,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,6,49,"
            ",11,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,5,309,"
            ",17,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,2,309,"
            ",18,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,1,49,"
            ",5,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,6,309,"
            ",12,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
3,10955,49,4,49,"
            ",18,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
2,10560,49,2,49,"
            ",17,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,2,49,"
            ",4,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,4,49,"
            ",5,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,1,49,"
            ",3,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
2,20871,309,7,309,"
            ",11,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",16,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,4,49,"
            ",10,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
2,82,49,2,49,"
            ",7,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,1,49,"
            ",1,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,3,49,"
            ",8,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,3,49,"
            ",9,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,1,49,"
            ",15,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",6,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,7,49,"
            ",9,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",8,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,1,49,"
            ",7,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,1,309,"
            ",1,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,3,309,"
            ",2,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
3,2074,309,3,309,"
            ",4,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,2,309,"
            ",10,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
5,15004,309,5,309,"
            ",12,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,2,309,"
            ",11,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,2,49,"
            ",15,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,2,309,"
            ",17,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",16,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,1,309,"
            ",3,0,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,1,309,"
            ",14,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,10072,309,1,309,"
            ",7,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",8,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,2,49,"
            ",4,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",10,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,15280,309,4,309,"
            ",3,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,2074,309,1,309,"
            ",5,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,3,49,"
            ",9,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",15,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",17,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
2,2948,49,4,49,"
            ",11,1,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",8,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,2,49,"
            ",9,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,15280,309,1,309,"
            ",15,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
3,12372,309,4,309,"
            ",10,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,5,309,"
            ",11,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,15280,309,3,309,"
            ",16,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,1,309,"
            ",6,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,3,309,"
            ",12,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,3,49,"
            ",5,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,3,49,"
            ",4,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934
2,583,49,2,49,"
            ",16,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,1,309,"
            ",12,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,5,49,"
            ",10,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",18,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
4,82,49,4,49,"
            ",7,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,2,309,"
            ",8,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",2,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,1,309,"
            ",11,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934
