ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,0,5,2074,5,309,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,22.1,72.4,36.9,91.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,0,2,12372,2,309,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,36.7,91.4,39.1,62.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,0,1,10072,1,309,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,40.0,60.0,50,50
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,4,299,2074,59,309,0,failed,,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,25.4,55.5,26,45.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,4,293,82,53,49,0,failed,,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,75.0,95.1,15,74.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,3,224,905,44,49,0,failed,,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,76.9,67.2,39.6,58.8
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,168,82,48,49,0,failed,,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,74.5,61.1,20.9,33.9
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,140,8088,20,309,0,failed,true,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,36.6,82.2,46.2,91.9
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,138,544,18,49,1,failed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,53.8,4.6,28.3,0
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,1,119,8206,59,309,0,failed,true,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,72.4,100.0,66,91.5
