action_type,injurytime_play,mins,minsec,player_id,secs,team_id,type,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,79,4754,82,14,49,corner,data/epl,2017-09-11 20:00:00 +0100,32934,11.6,61.0,2.4,55.5
,,76,4567,10803,7,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,1.7,59.4,5.9,56.3
,,84,5082,10955,42,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,67.8,101.5,52.6,8.3
,,84,5048,7969,8,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,65.3,-1.4,46.3,24.6
,,83,5024,2948,44,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,40.1,101.7,40.7,92.3
,,83,4988,925,8,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,55.2,102.0,43.6,83.7
,,82,4950,10955,30,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,83.8,101.2,52.6,8.3
,,82,4923,10504,3,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,8.6,-1.6,7.3,7.7
,,80,4842,10803,42,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,64.8,101.4,60.7,98.1
,,80,4817,925,17,49,corner,data/epl,2017-09-11 20:00:00 +0100,32934,14.5,54.3,43.6,83.7
,0,89,5396,20871,56,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,17.3,101.4,25.5,98.5
,0,89,5376,20871,36,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,29.6,101.4,25.5,98.5
,0,88,5328,23637,48,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.1,71.0,0.0,0.0
,0,88,5304,729,24,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,14.2,-1.6,40.8,2.2
,0,88,5283,10560,3,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,61.7,101.5,71.5,90.0
,0,87,5258,10955,38,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.2,64.3,52.6,8.3
,0,85,5103,905,3,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,43.1,102.0,36.5,65.4
,1,90,5654,729,0,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,92.8,-1.6,40.8,2.2
,1,90,5620,10803,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,30.8,101.4,28.9,92.9
,1,90,5581,7969,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,52.5,-1.6,31.8,4.7
,1,90,5509,10504,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,23.7,94.5,17.3
,1,90,5423,20871,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,22.8,101.6,10.5,70.2
