event,event_action_type,event_injurytime_play,event_mins,event_minsec,event_player_id,event_secs,event_team,event_type,tackler,tackler_team,time_slice_id,time_slice_name,competition,kickoff,match_id,loc_x,loc_y
"
            ",Defense,,55,3317,10955,17,49,Success,20871,309,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,14.1,93.0
"
            ",Defense,,56,3412,15280,52,309,Fouled,10560,49,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,59.8,75.8
"
            ",Defense,,57,3435,10072,15,309,Failed,10955,49,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,59.4,61.8
"
            ",Defense,,59,3592,8088,52,309,Success,2948,49,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,95.6
"
            ",Defense,,60,3635,20871,35,309,Success,9470,49,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,22.2,53.8
"
            ",Defense,,64,3893,1174,53,49,Failed,11309,309,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,64.2,13.6
"
            ",Defense,,64,3898,10955,58,49,Success,20871,309,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,38.2,3.6
"
            ",Defense,,65,3940,8088,40,309,Success,2948,49,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,12.4,4.8
"
            ",Defense,,67,4041,10803,21,309,Failed,544,49,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,27.1,7.7
"
            ",Defense,,68,4093,10955,13,49,Failed,20871,309,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,28.9,48.8
"
            ",Defense,,69,4190,15280,50,309,Success,1174,49,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,48.4,85.6
"
            ",Defense,,73,4403,1174,23,49,Failed,11309,309,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934,60.6,10.3
"
            ",Defense,,73,4418,87,38,49,Failed,10504,309,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934,42.8,2.3
"
            ",Defense,,73,4435,10803,55,309,Failed,544,49,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934,70.6,21.2
"
            ",Defense,,74,4440,8088,0,309,Failed,729,49,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,1.9
"
            ",Defense,,80,4836,8088,36,309,Success,1174,49,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,11.1,17.8
"
            ",Defense,0,86,5219,10803,59,309,Failed,544,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,33.9,8.4
"
            ",Defense,0,88,5317,23637,37,309,Failed,2948,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,28.0,19.2
"
            ",Defense,0,88,5326,905,46,49,Success,23637,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,89.9,70.8
"
            ",Defense,0,89,5375,15035,35,49,Success,20871,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,25.5,98.5
"
            ",Defense,1,90,5438,10955,0,49,Success,10803,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,21.6,81.3
"
            ",Defense,1,90,5447,10072,0,309,Failed,10955,49,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,56.8,62.3
"
            ",Defense,1,90,5645,729,0,49,Failed,11309,309,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,39.9,85.5
